,Compound,Date_created,Negative,Neutral,News_Media,Positive,Tweets_ago
0,0.6597,2017-12-03 00:53:43+00:00,0,0.565,@BBCNews,0.435,0
1,0.128,2017-12-02 22:55:32+00:00,0.19,0.579,@BBCNews,0.231,1
2,-0.4019,2017-12-02 19:03:17+00:00,0.252,0.748,@BBCNews,0,2
3,0.4767,2017-12-02 18:53:04+00:00,0,0.661,@BBCNews,0.339,3
4,0,2017-12-02 18:01:06+00:00,0,1,@BBCNews,0,4
5,0,2017-12-02 17:53:21+00:00,0,1,@BBCNews,0,5
6,-0.5994,2017-12-02 17:28:39+00:00,0.196,0.804,@BBCNews,0,6
7,0,2017-12-02 17:02:29+00:00,0,1,@BBCNews,0,7
8,-0.2263,2017-12-02 16:55:38+00:00,0.101,0.899,@BBCNews,0,8
9,0.8934,2017-12-02 16:48:36+00:00,0,0.584,@BBCNews,0.416,9
10,0,2017-12-02 15:57:36+00:00,0,1,@BBCNews,0,10
11,-0.296,2017-12-02 15:29:08+00:00,0.211,0.789,@BBCNews,0,11
12,0.5106,2017-12-02 15:02:01+00:00,0,0.68,@BBCNews,0.32,12
13,-0.5719,2017-12-02 14:28:13+00:00,0.316,0.684,@BBCNews,0,13
14,0.4019,2017-12-02 14:03:52+00:00,0,0.748,@BBCNews,0.252,14
15,0,2017-12-02 13:57:30+00:00,0,1,@BBCNews,0,15
16,-0.296,2017-12-02 12:40:53+00:00,0.314,0.686,@BBCNews,0,16
17,0.0258,2017-12-02 12:40:52+00:00,0.152,0.657,@BBCNews,0.19,17
18,0,2017-12-02 12:23:57+00:00,0,1,@BBCNews,0,18
19,0.2023,2017-12-02 12:03:23+00:00,0,0.87,@BBCNews,0.13,19
20,0.34,2017-12-02 11:54:26+00:00,0,0.893,@BBCNews,0.107,20
21,-0.4939,2017-12-02 11:40:36+00:00,0.113,0.887,@BBCNews,0,21
22,0,2017-12-02 11:31:35+00:00,0,1,@BBCNews,0,22
23,0,2017-12-02 11:02:15+00:00,0,1,@BBCNews,0,23
24,0,2017-12-02 11:02:15+00:00,0,1,@BBCNews,0,24
25,0.25,2017-12-02 10:53:36+00:00,0.159,0.625,@BBCNews,0.216,25
26,0,2017-12-02 10:41:12+00:00,0,1,@BBCNews,0,26
27,0.3384,2017-12-02 10:19:18+00:00,0,0.902,@BBCNews,0.098,27
28,0,2017-12-02 10:19:06+00:00,0,1,@BBCNews,0,28
29,0,2017-12-02 10:14:46+00:00,0,1,@BBCNews,0,29
30,-0.4215,2017-12-02 09:57:33+00:00,0.192,0.808,@BBCNews,0,30
31,-0.1531,2017-12-02 08:56:42+00:00,0.071,0.929,@BBCNews,0,31
32,-0.0752,2017-12-02 08:42:22+00:00,0.161,0.708,@BBCNews,0.131,32
33,0.34,2017-12-02 08:38:13+00:00,0,0.906,@BBCNews,0.094,33
34,0,2017-12-02 08:18:36+00:00,0,1,@BBCNews,0,34
35,0,2017-12-02 08:02:35+00:00,0,1,@BBCNews,0,35
36,0,2017-12-02 07:04:42+00:00,0,1,@BBCNews,0,36
37,-0.802,2017-12-02 05:40:17+00:00,0.419,0.581,@BBCNews,0,37
38,0,2017-12-02 04:52:33+00:00,0,1,@BBCNews,0,38
39,-0.9001,2017-12-02 02:36:05+00:00,0.647,0.353,@BBCNews,0,39
40,-0.6486,2017-12-02 02:22:06+00:00,0.301,0.699,@BBCNews,0,40
41,-0.6808,2017-12-02 01:20:51+00:00,0.365,0.635,@BBCNews,0,41
42,0,2017-12-02 01:05:54+00:00,0,1,@BBCNews,0,42
43,-0.5859,2017-12-02 01:05:54+00:00,0.352,0.648,@BBCNews,0,43
44,0.25,2017-12-02 01:02:22+00:00,0,0.778,@BBCNews,0.222,44
45,0,2017-12-01 23:54:29+00:00,0,1,@BBCNews,0,45
46,-0.6249,2017-12-01 23:50:33+00:00,0.421,0.579,@BBCNews,0,46
47,0,2017-12-01 22:34:03+00:00,0,1,@BBCNews,0,47
48,-0.6908,2017-12-01 22:14:59+00:00,0.299,0.701,@BBCNews,0,48
49,0,2017-12-01 22:14:54+00:00,0,1,@BBCNews,0,49
50,0,2017-12-01 22:14:54+00:00,0,1,@BBCNews,0,50
51,0,2017-12-01 22:14:49+00:00,0,1,@BBCNews,0,51
52,-0.34,2017-12-01 22:10:39+00:00,0.255,0.745,@BBCNews,0,52
53,0,2017-12-01 22:01:08+00:00,0,1,@BBCNews,0,53
54,0.25,2017-12-01 22:00:47+00:00,0,0.931,@BBCNews,0.069,54
55,0.4404,2017-12-01 22:00:43+00:00,0,0.868,@BBCNews,0.132,55
56,0,2017-12-01 22:00:37+00:00,0,1,@BBCNews,0,56
57,-0.5994,2017-12-01 21:52:28+00:00,0.231,0.769,@BBCNews,0,57
58,-0.7906,2017-12-01 21:52:24+00:00,0.318,0.682,@BBCNews,0,58
59,-0.7351,2017-12-01 21:52:22+00:00,0.341,0.659,@BBCNews,0,59
60,0.4588,2017-12-01 20:57:57+00:00,0,0.812,@BBCNews,0.188,60
61,0,2017-12-01 20:57:27+00:00,0,1,@BBCNews,0,61
62,0,2017-12-01 20:53:53+00:00,0,1,@BBCNews,0,62
63,0.4019,2017-12-01 20:06:23+00:00,0,0.861,@BBCNews,0.139,63
64,0,2017-12-01 20:05:53+00:00,0,1,@BBCNews,0,64
65,-0.8074,2017-12-01 20:02:31+00:00,0.549,0.451,@BBCNews,0,65
66,0.4215,2017-12-01 19:31:53+00:00,0,0.741,@BBCNews,0.259,66
67,-0.5267,2017-12-01 18:37:43+00:00,0.207,0.793,@BBCNews,0,67
68,0,2017-12-01 17:49:56+00:00,0,1,@BBCNews,0,68
69,0.3182,2017-12-01 17:29:17+00:00,0,0.892,@BBCNews,0.108,69
70,0.3182,2017-12-01 17:27:37+00:00,0,0.753,@BBCNews,0.247,70
71,0.2263,2017-12-01 17:15:34+00:00,0,0.917,@BBCNews,0.083,71
72,0,2017-12-01 16:52:11+00:00,0,1,@BBCNews,0,72
73,0,2017-12-01 16:49:53+00:00,0,1,@BBCNews,0,73
74,0,2017-12-01 16:31:25+00:00,0,1,@BBCNews,0,74
75,0,2017-12-01 16:31:01+00:00,0,1,@BBCNews,0,75
76,0.34,2017-12-01 16:15:29+00:00,0,0.821,@BBCNews,0.179,76
77,0,2017-12-01 16:14:25+00:00,0,1,@BBCNews,0,77
78,0,2017-12-01 16:03:34+00:00,0,1,@BBCNews,0,78
79,0,2017-12-01 15:43:39+00:00,0,1,@BBCNews,0,79
80,0.6355,2017-12-01 15:43:11+00:00,0,0.68,@BBCNews,0.32,80
81,0,2017-12-01 15:27:37+00:00,0,1,@BBCNews,0,81
82,-0.296,2017-12-01 15:26:50+00:00,0.18,0.82,@BBCNews,0,82
83,0,2017-12-01 15:01:29+00:00,0,1,@BBCNews,0,83
84,0,2017-12-01 15:00:24+00:00,0,1,@BBCNews,0,84
85,0,2017-12-01 15:00:10+00:00,0,1,@BBCNews,0,85
86,0,2017-12-01 14:49:10+00:00,0,1,@BBCNews,0,86
87,0.1531,2017-12-01 14:23:06+00:00,0.089,0.792,@BBCNews,0.119,87
88,0,2017-12-01 14:09:53+00:00,0,1,@BBCNews,0,88
